==> WARNING: mTLS is not configured - Nomad is not secure without mTLS!
==> Loaded configuration from bin/nomad-client1.hcl
==> Starting Nomad agent...
==> Nomad agent configuration:

       Advertise Addrs: HTTP: 127.0.0.1:5646
            Bind Addrs: HTTP: [127.0.0.1:5646]
                Client: true
             Log Level: INFO
                Region: global (DC: dc1)
                Server: false
               Version: 1.11.3

==> Nomad agent started! Log data will stream in below:

    2026-03-11T21:16:13.916+0900 [WARN]  agent.plugin_loader: skipping external plugins since plugin_dir doesn't exist: plugin_dir=/Users/annas/Desktop/code/platform-docs/sandbox-platform/bin/nomad-client1/plugins
    2026-03-11T21:16:13.920+0900 [INFO]  agent: detected plugin: name=docker type=driver plugin_version=0.1.0
    2026-03-11T21:16:13.920+0900 [INFO]  agent: detected plugin: name=raw_exec type=driver plugin_version=0.1.0
    2026-03-11T21:16:13.920+0900 [INFO]  agent: detected plugin: name=exec type=driver plugin_version=0.1.0
    2026-03-11T21:16:13.920+0900 [INFO]  agent: detected plugin: name=qemu type=driver plugin_version=0.1.0
    2026-03-11T21:16:13.920+0900 [INFO]  agent: detected plugin: name=java type=driver plugin_version=0.1.0
    2026-03-11T21:16:13.920+0900 [INFO]  client: using state directory: state_dir=/Users/annas/Desktop/code/platform-docs/sandbox-platform/bin/nomad-client1/client
    2026-03-11T21:16:13.949+0900 [INFO]  client: using alloc directory: alloc_dir=/Users/annas/Desktop/code/platform-docs/sandbox-platform/bin/nomad-client1/alloc
    2026-03-11T21:16:13.949+0900 [INFO]  client: using dynamic ports: min=20000 max=32000 reserved=""
    2026-03-11T21:16:14.005+0900 [WARN]  client.fingerprint_mgr.consul: failed to acquire consul self endpoint: cluster=default error="Get \"http://localhost:8500/v1/agent/self\": dial tcp [::1]:8500: connect: connection refused"
    2026-03-11T21:16:14.037+0900 [WARN]  client.fingerprint_mgr.landlock: failed to fingerprint kernel landlock feature: error="landlock not supported on this platform"
    2026-03-11T21:16:20.083+0900 [INFO]  client.plugin: starting plugin manager: plugin-type=csi
    2026-03-11T21:16:20.084+0900 [INFO]  client.plugin: starting plugin manager: plugin-type=driver
    2026-03-11T21:16:20.085+0900 [INFO]  client.plugin: starting plugin manager: plugin-type=device
    2026-03-11T21:16:20.086+0900 [INFO]  client.plugin: starting plugin manager: plugin-type=dynamic_host_volume
    2026-03-11T21:16:20.238+0900 [INFO]  client: started client: node_id=b2b81868-b22d-db91-7150-3b654fe8fb26
    2026-03-11T21:16:20.281+0900 [INFO]  client: setting node identity token
    2026-03-11T21:16:20.292+0900 [INFO]  client: node registration complete
    2026-03-11T21:16:20.293+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:16:27.560+0900 [INFO]  client: node registration complete
    2026-03-11T21:17:20.088+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:18:20.088+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:19:20.087+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:20:20.134+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:21:20.086+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:22:20.085+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:23:20.084+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:24:20.085+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:25:20.085+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:26:20.086+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:27:20.085+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:28:20.086+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:29:20.085+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:30:20.085+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:31:20.086+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
    2026-03-11T21:32:20.086+0900 [WARN]  client.gc: garbage collection skipped because no terminal allocations: reason="disk usage of 93 is over gc threshold of 80"
